法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
ＣＰエージェンシー株式会社,'3040001080679,株式会社,,ＣＰエージェンシー株式会社は、法人向けのＳａａＳおよびクラウドシステムの導入支援を行い、主にＲＰＡを活用した業務自動化を通じて企業のＩＴ化による利益拡大をサポートするＩＴサービス法人です。,東京都新宿区神楽坂6-46ローベル神楽坂10階,162-0825,東京都,新宿区,神楽坂6-46ローベル神楽坂10階,東京都新宿区神楽坂６丁目４６番ローベル神楽坂１０階,1620825,東京都,新宿区,神楽坂６丁目４６番ローベル神楽坂１０階,https://cp-agency.co.jp/,info@cp-agency.co.jp,03-5227-6214,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2013/3/21,"9,900,000",,小山 良行（代表取締役）,小山 良行（代表取締役）,,,,1,,,,,,jsDelivr/Googleカスタム検索エンジン/Gravatar/reCAPTCHA/Google Hosted Libraries/Gstatic/Google マップ/CloudFlare/Google アナリティクス/Googleタグマネージャー,-,-,-,-,-,案件情報掲載あり(2025/2026年),,N/A
株式会社いい生活,'9010401039891,株式会社,,株式会社いい生活は、不動産業界に特化したＳａａＳおよびクラウドサービスを提供し、不動産市場のデジタル化を推進することで、業務効率と顧客満足度の向上に貢献する法人です。,東京都港区南麻布5丁目2番32号興和広尾ビル3F,106-0047,東京都,港区,南麻布5丁目2番32号興和広尾ビル3F,東京都港区南麻布５丁目２番３２号,1060047,東京都,港区,南麻布５丁目２番３２号,https://www.e-seikatsu.info/,,03-5423-7820,,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業,情報サービス業,,,,,東証スタンダード,大手,2000/1/21,"628,411,000",100以上～300未満,中村 清高（取締役会長(代表取締役)）/前野 善一（取締役社長CEO(代表取締役)ビジネス・ストラテジーグループリーダー）/塩川 拓行（取締役副社長 CFO(代表取締役)コーポレートグループリーダー）/北澤 弘貴（取締役副社長 COO(代表取締役)セールス＆マーケティンググループリーダー）,松崎 明（専務取締役CTOウェブ・ソリューション開発グループリーダー）/成本 治男（取締役（監査等委員））/伊藤 耕一郎（取締役（監査等委員））/神村 大輔（取締役（監査等委員））/戸塚 隆将（取締役（監査等委員））,30億以上～50億未満,"-43,693,000",3月,3,愛知県/大阪府/福岡県,,,1,4,Typekit/Google アナリティクス/Google マップ/Googleタグマネージャー/Google Hosted Libraries,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年),12,N/A
有限会社フクモト・ロジスティック・システム,'1100002013501,有限会社,,有限会社フクモト・ロジスティック・システムは、軽井沢に本社を置き、レスポンシブ・ウェブ・デザインによるホームページ制作や各種印刷物の制作、クラウドサービスやホスティングサービスを提供するＩＴ法人です。,長野県北佐久郡軽井沢町追分94-10,389-0115,長野県,北佐久郡軽井沢町,追分94-10,長野県北佐久郡軽井沢町大字追分９４番地１０,3890115,長野県,北佐久郡軽井沢町,大字追分９４番地１０,https://www.ful.co.jp/,,0120-441-263,0267-44-1236,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/デザイン業,学術研究，専門・技術サービス業/広告業/広告業",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,非上場,小規模企業,2001/3/6,,～5未満,,,100万以上～5千万未満,,,2,長野県,1,カナダ,1,,,-,-,-,-,-,,2,N/A
株式会社エージェントファインダー,'9010401148833,株式会社,,株式会社エージェントファインダーは、業界特化型のトップヘッドハンターを無料で紹介する転職支援サービスを提供し、求職者に最適な相談者とノウハウを結びつけることで、転職活動の成功をサポートする法人です。,東京都港区南青山2-2-15,107-0062,東京都,港区,南青山2-2-15,東京都港区南青山２丁目２番１５号,1070062,東京都,港区,南青山２丁目２番１５号,https://agent-finder.co.jp/,info@agent-finder.co.jp,080-6628-3863,,"サービス業（他に分類されないもの）/職業紹介・労働者派遣業/職業紹介業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",サービス業（他に分類されないもの）,職業紹介・労働者派遣業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,非上場,不明,2019/10,,,粕谷暢司（代表取締役）,粕谷暢司（代表取締役）,,,,1,,,,1,,Googleタグマネージャー/Google Hosted Libraries/Pocket/HubSpot (トラッカー)/Google マップ/Facebook SDK/Hotjar/Google アナリティクス,◯,◯,-,-,-,リリース情報掲載あり(2025/2026年),2,N/A
株式会社ＮｅｘｕｓＣｌｏｕｄ Ｓｙｓｔｅｍｓ,'6010001241495,株式会社,,株式会社ＮｅｘｕｓＣｌｏｕｄ Ｓｙｓｔｅｍｓは、企業向けのＩＴソリューションやＳａａＳプロダクトを提供し、特に経費管理や契約管理、ＳＡＰ開発支援を通じて、グローバルな事業戦略の実現をサポートする独立系ＩＴベンダーです。,東京都港区新橋5-23-5ASOOM新橋14F,105-0004,東京都,港区,新橋5-23-5ASOOM新橋14F,東京都港区新橋５丁目２３－５ＡＳＯＯＭ新橋１４階,1050004,東京都,港区,新橋５丁目２３－５ＡＳＯＯＭ新橋１４階,https://www.nexuscloud.co.jp/,ncs_mb@nexuscloud.jp,03-6432-4676,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,,,～5未満,藤井 覚（代表取締役社長）,藤井 覚（代表取締役社長）,1億以上～5億未満,,,1,,,,,,CloudFlare/Gstatic/Google マップ,-,-,-,-,-,中途採用掲載あり(先週)/商標出願あり(2025/2026年),,N/A
株式会社スパークワークス,'5010601051080,株式会社,,株式会社スパークワークスは、システム開発やコンサルティング、各種研修・セミナー企画、オンラインサービス運営を手がける法人で、特にクラウドコンピューティングとグループウェアＳａａＳに強みを持つ東京都台東区に拠点を置く法人です。,東京都台東区台東1-14-11藤野ビル402,110-0016,東京都,台東区,台東1-14-11藤野ビル402,東京都台東区台東１丁目１４番１１号藤野ビル４０２,1100016,東京都,台東区,台東１丁目１４番１１号藤野ビル４０２,http://sparkworks.co.jp/,info@sparkworks.co.jp,03-6339-8106,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2017/2,"20,000,000",5以上～10未満,曹 利超（代表取締役社長）,曹 利超（代表取締役社長）,1億以上～5億未満,,1月,1,,,,,,Google マップ,-,-,-,-,-,案件情報掲載あり(2025/2026年),,N/A
株式会社エクサス,'4140001029574,株式会社,,株式会社エクサスは、クラウド（ＳａａＳ・ＡＳＰ）港湾物流情報システムを提供する会社であり、海貨事業者、船社・代理店、ＮＶＯＣＣ業務者、ＮＡＣＣＳユーザー向けに高い評価を得ている。,神戸市中央区北長狭通5丁目1番21号福建会館ビル,650-0012,兵庫県,神戸市中央区,北長狭通5丁目1番21号福建会館ビル,兵庫県神戸市中央区北長狭通５丁目１番２１号福建会館ビル,650-0012,兵庫県,神戸市中央区,北長狭通５丁目１番２１号福建会館ビル,https://www.exa-system.co.jp/,exas@wisetechglobal.com,078-367-8526,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,1992/8,"20,000,000",5以上～10未満,杣田良隆（代表）,杣田良隆（代表）,1億以上～5億未満,,,1,,,,,,Google マップ,-,-,-,-,-,,,N/A
株式会社ＣＬＥＡＮ ＣＯＲＰＯＲＡＴＩＯＮ,'9120901047367,株式会社,,株式会社ＣＬＥＡＮ ＣＯＲＰＯＲＡＴＩＯＮは、ＤＸを駆使して宿泊施設の客室清掃・オペレーション管理、ＩｏＴを活用した業務改善用ＳａａＳの開発運用、及び民泊運営などを行う革新型ホスピタリティテクノロジー法人です。,大阪府吹田市広芝町7-26EPOCH江坂ビル5F,564-0052,大阪府,吹田市,広芝町7-26EPOCH江坂ビル5F,大阪府吹田市広芝町７－２６,5640052,大阪府,吹田市,広芝町７－２６,https://clean-corporation.jp/,info@clean-corporation.jp,06-7777-6764,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,,"5,000,000",10以上～20未満,石戸 隆太（代表取締役）,石戸 隆太（代表取締役）,1億以上～5億未満,,,1,東京都,,,,,Google マップ/Googleタグマネージャー,-,-,-,-,-,,,N/A
株式会社モニタス,'7010401004022,株式会社,,株式会社モニタスは、２８００万人以上のモニターデータを活用し、マーケティングリサーチを支えるＳａａＳ型ツール「スパコロ」を通じて、企業向けのアンケート調査やデータ分析サービスを提供するマーケティング支援法人です。,東京都港区芝公園2-6-3芝公園フロントタワー22F,105-0011,東京都,港区,芝公園2-6-3芝公園フロントタワー22F,東京都港区芝公園２丁目６番３号芝公園フロントタワー,105-0011,東京都,港区,芝公園２丁目６番３号芝公園フロントタワー,https://www.monitas.co.jp/,info@monitas.co.jp/honbu_pub@cyberagent.co.jp/info@dcon.ai,03-5776-2821,,"情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,非上場,中小企業,1991/4,"89,230,000",20以上～30未満,廣瀬篁治（代表者）,西條 喜寅（取締役）/高橋 亮（取締役）/田中 哲（取締役）/松本 浩（監査役）,5億以上～10億未満,,,,,,,5,,Gstatic/Google Hosted Libraries/Google マップ/jsDelivr/Googleタグマネージャー,-,-,-,-,-,リリース情報掲載あり(1週間以内),3,N/A
株式会社タクマネ,'5011001159118,株式会社,,株式会社タクマネは、税務とＡＩ技術を融合した税務専門タスク管理ＳａａＳ「ＴＡＫＵＭＡＮＥ」を通じて、中小企業の税務処理におけるミスや無駄を削減し、適正な納税義務の実現を支援する法人です。,東京都千代田区霞が関１丁目４−１日土地ビル2F,100-0013,東京都,千代田区,霞が関１丁目４−１日土地ビル2F,東京都千代田区霞が関１丁目４番１号,1000013,東京都,千代田区,霞が関１丁目４番１号,https://corp.takumane.jp/,,03-6161-8300,,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,非上場,小規模企業,2023/12,,～5未満,柿澤 庸太（代表者）,柿澤 庸太（代表者）,5千万以上～1億未満,,,,,,,,,Gstatic/Google Cloud Storage,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/商標出願あり(2025/2026年),,N/A
株式会社海科インテリジェンス,'6020001115368,株式会社,,株式会社海科インテリジェンスは、ＳａａＳ企業として様々な業種・業務に特化したソリューションを提供しており、業種別のパッケージ型システムやクラウドサービスを通じて、業務効率化や事業拡大を支援しています。,東京都大田区中央8丁目26-15三上,143-0024,東京都,大田区,中央8丁目26-15三上,東京都大田区中央８丁目２６番１５号,143-0024,東京都,大田区,中央８丁目２６番１５号,http://www.kaika-jp.com/,,080-3215-7428,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2016/3,"8,000,000",～5未満,傅英亮（代表）,傅 英亮（代表取締役）,5千万以上～1億未満,,,,,,,,,Google マップ,-,-,-,-,-,,,N/A
ＳＳ Ｔｅｃｈｎｏｌｏｇｉｅｓ株式会社,'2010001182652,株式会社,,ＳＳ Ｔｅｃｈｎｏｌｏｇｉｅｓ株式会社は、不動産に特化したＳａａＳソリューションを提供し、賃貸管理や斡旋業務の効率化を実現する法人で、ＡＩやＲＰＡ技術を活用して生産性向上に貢献しています。,東京都千代田区丸の内一丁目８番１号丸の内トラストタワーN館19階,,東京都,千代田区,丸の内一丁目８番１号丸の内トラストタワーN館19階,東京都千代田区丸の内１丁目８番１号,1000005,東京都,千代田区,丸の内１丁目８番１号,https://www.sstechnologies.co.jp/,,03-6265-62585,03-6262-6492,分類不能の産業/分類不能の産業/分類不能の産業,分類不能の産業,分類不能の産業,,,,,非上場,不明,,,,吉尾 春樹（代表取締役社長）/結城 耕造（代表取締役社長）,吉尾 春樹（代表取締役社長）/結城 耕造（代表取締役社長）,,,,,,,,2,,Googleタグマネージャー/Polyfill/jsDelivr/jQuery CDN/Google マップ/CloudFlare,-,-,-,-,-,,2,N/A
株式会社フレイ・スリー,'6010401101134,株式会社,,株式会社フレイ・スリーは、革新的なＡＩ動画プラットフォーム「１ＲＯＬＬ」を提供し、動画制作のノウハウをＳａａＳ形式で広めることで、企業のデジタルトランスフォーメーションを支援する動画クラウドサービス事業を展開しています。,東京都品川区東五反田5-22-33TK池田山2F,141-0022,東京都,品川区,東五反田5-22-33TK池田山2F,東京都品川区東五反田５丁目２２番３３号,1410022,東京都,品川区,東五反田５丁目２２番３３号,http://hurray3.com/,,03-6453-7218,03-6453-7219,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業,インターネット附随サービス業,,,,,非上場,中小企業,2012/8/1,"35,030,000",5以上～10未満,石田 貢（代表取締役CEO）,石田 貢（代表取締役CEO）,1億以上～5億未満,,,,,,,,,CloudFlare,◯,◯,◯,-,-,リリース情報掲載あり(2025/2026年),2,N/A
リトルソフト株式会社,'4013301022204,株式会社,,リトルソフト株式会社は、Ｗｅｂシステム・アプリ開発やＳａａＳ事業を通じて中小企業のデジタルトランスフォーメーション（ＤＸ）を支援する法人であり、特にローコード開発を活用した迅速かつ柔軟なソリューション提供に注力しています。,東京都豊島区南池袋2丁目32番12号タクト4ビル8階,171-0022,東京都,豊島区,南池袋2丁目32番12号タクト4ビル8階,東京都豊島区南池袋２丁目３２番１２号,1710022,東京都,豊島区,南池袋２丁目３２番１２号,https://www.littlesoft.jp/,,03-5954-3111,03-5954-3112,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中小企業,2006/4/3,"44,900,000",20以上～30未満,長尾 寿宏（代表取締役）,長尾 寿宏（代表取締役）,5億以上～10億未満,,,1,,,,,21,Google マップ/Googleタグマネージャー/CloudFlare/Amazon Cloud Front,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),1,N/A
ＮＥ株式会社,'2021001075886,株式会社,,ＮＥ株式会社は、「コマースに熱狂を。」を掲げ、ＥＣ支援ＳａａＳ『ＮＥＸＴ ＥＮＧＩＮＥ』やＥＣコンサルティング、伝統工芸品の販売、地方創生支援、ＡＩ教育など、多様な事業領域で持続的成長を実現する法人です。,神奈川県横浜市港北区新横浜3-2-3EPICTOWERSHINYOKOHAMA16階,222-0033,神奈川県,横浜市港北区,新横浜3-2-3EPICTOWERSHINYOKOHAMA16階,神奈川県横浜市港北区新横浜３丁目２番３号,2220033,神奈川県,横浜市港北区,新横浜３丁目２番３号,https://ne-inc.jp/,,03-4540-6512,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,東証グロース,大手,2022/5,"100,000,000",100以上～300未満,比護 則良（代表者）/鈴木 淳也（代表者）,比護 則良（代表者）/鈴木 淳也（代表者）/古閑 由佳（取締役）/鈴木 咲季（取締役）/小髙 康幸（執行役員）/小山 直輝（執行役員）/高木 大輔（執行役員）/髙橋 洋平（執行役員）/冨山 幸弘（執行役員）/日橋 正義（執行役員）/三原 信基（執行役員）/北村 京（監査役）/本行 隆之（監査役）/千葉 幸夫（監査役）,20億以上～30億未満,,,1,,,,1,2,Google マップ/Typekit/jsDelivr/Googleタグマネージャー/CloudFlare,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(先週)/案件情報掲載あり(2025/2026年)/商標出願あり(2025/2026年),19,N/A
フルカイテン株式会社,'6120001170576,株式会社,,フルカイテン株式会社は、データ分析と需要予測を活用した在庫分析クラウド「ＦＵＬＬ ＫＡＩＴＥＮ」を開発・提供し、小売・卸売業の利益最適化と在庫管理の効率化を図るＳａａＳ法人です。,大阪府大阪市福島区福島1-4-4セントラル702F-B,553-0003,大阪府,大阪市福島区,福島1-4-4セントラル702F-B,大阪府大阪市福島区福島１丁目４番４号,5530003,大阪府,大阪市福島区,福島１丁目４番４号,https://corp.full-kaiten.com/,,06-6131-9388,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2012/5/7,"100,000,000",30以上～50未満,瀬川 直寛（代表取締役）,瀬川 直寛（代表取締役）/宇津木 貴晴（取締役CSO）/田中 大介（取締役CPO）,10億以上～20億未満,,12月,3,東京都/長野県,,,,,Googleタグマネージャー/Google マップ/note/jsDelivr,◯,◯,-,◯,-,リリース情報掲載あり(2025/2026年)/展示会出展あり(2025/2026年)/中途採用掲載あり(2025/2026年),2,N/A
株式会社ネルプ,'1011001145377,株式会社,,株式会社ネルプは、Ｉｎｓｔａｇｒａｍに特化したＳａａＳツール「ｉステップ」を通じて企業やインフルエンサーの売上最大化を支援し、ＳＮＳマーケティングや業務効率化を通じて「イキイキと働く人を増やすこと」をミッションに掲げるテクノロジー法人です。,東京都品川区上大崎3丁目2−1目黒センタービル8階,141-0021,東京都,品川区,上大崎3丁目2−1目黒センタービル8階,東京都品川区上大崎３丁目２－１,1410021,東京都,品川区,上大崎３丁目２－１,https://nelp.jp/,customer.support@nelp.jp,03-6635-6027,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2022/2,"15,000,000",5以上～10未満,稲葉 信（代表取締役）,稲葉 信（代表取締役）/増倉 陽一（取締役）/後藤 大輝（取締役）,1億以上～5億未満,,,1,,,,,21,Google Hosted Libraries/jsDelivr/Gstatic,-,-,-,◯,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(2025/2026年),3,N/A
有限会社ロジックベース,'2110002026022,有限会社,,有限会社ロジックベースは、ＳａａＳ、ＩｏＴ、Ｗｅｂアプリ開発、防犯カメラシステムの提案を行うＩＴ専門法人であり、２０年以上の実績を持つ技術力と創造力を駆使してお客様のビジネスを支援しています。,新潟県十日町市山野田268-2,948-0143,新潟県,十日町市,山野田268-2,新潟県十日町市新宮乙１７４番地３,9498526,新潟県,十日町市,新宮乙１７４番地３,https://logicbase.jp/,,0257-61-7511,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,小規模企業,2000/3,,～5未満,樋口 昭夫（代表取締役）,樋口 昭夫（代表取締役）,1億以上～5億未満,,,,,,,1,,Gstatic/Google マップ/CloudFlare/Typekit/Googleタグマネージャー,-,-,-,-,-,リリース情報掲載あり(2025/2026年),1,N/A
株式会社Ｃａｔａｌｌａｘｙ,'6010703002765,株式会社,,株式会社Ｃａｔａｌｌａｘｙは、デジタル技術を活用して製造業の課題を解決するＳａａＳ事業やＤＸ共創事業を展開し、金属部品調達プラットフォームやクラウド業務管理サービスを提供する法人です。,東京都中央区銀座1-12-4N&EBLD.7階,104-0061,東京都,中央区,銀座1-12-4N&EBLD.7階,東京都中央区銀座１丁目１２番４号,1040061,東京都,中央区,銀座１丁目１２番４号,https://catallaxy.me/,,03-4405-6976,,"情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,情報通信業,情報サービス業,非上場,中小企業,2015/7/9,"20,000,000",5以上～10未満,大石裕明（代表取締役CEO）,大石裕明（代表取締役CEO）/小椋学（取締役CFO）,1億以上～5億未満,,,1,,,,,1,Google マップ/Gravatar/reCAPTCHA,◯,◯,-,◯,-,リリース情報掲載あり(2025/2026年),2,N/A
株式会社ダイナックス,'8011001013338,株式会社,,株式会社ダイナックスは、１９７７年に設立されたソフトウェア開発会社で、主にＷｅｂシステムの開発を行い、自社開発のＳａａＳサービスを提供してお客様の業務効率を向上させることに注力しています。,東京都渋谷区恵比寿4-12-12,150-0013,東京都,渋谷区,恵比寿4-12-12,東京都渋谷区恵比寿４丁目１２番１２号,150-0013,東京都,渋谷区,恵比寿４丁目１２番１２号,https://www.dynax.co.jp/,info@dynax.co.jp,03-5488-7030,03-5488-7063,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,1977/10,"50,000,000",10以上～20未満,佐藤 正人（代表取締役会長）/佐藤 潤（代表取締役社長）,佐藤 正人（代表取締役会長）/佐藤 潤（代表取締役社長）/佐藤 春美（取締役）,5億以上～10億未満,,,2,北海道,1,中国,,,jsDelivr/Googleタグマネージャー/Google マップ,-,-,-,-,-,,4,N/A
株式会社ＴＤテクノロジー＆コンサルティング,'4010701034829,株式会社,,株式会社ＴＤテクノロジー＆コンサルティングは、日本およびベトナムに拠点を持ち、Ｗｅｂシステム開発やＳａａＳ提供を中心に、経営コンサルティング、知的財産権運用、情報通信技術の先進的なサービスを展開するＩＴ法人です。,,,,,,東京都品川区東五反田５丁目２２－３７,141-0022,東京都,品川区,東五反田５丁目２２－３７,https://tdtc.co.jp/,,03-6869-2266,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,非上場,中小企業,2017/10/10,"25,250,000",5以上～10未満,,,5千万以上～1億未満,,,,,,,,,Googleタグマネージャー/Google マップ/Font Awesome/CloudFlare,-,-,-,-,-,案件情報掲載あり(2025/2026年),,N/A
株式会社ＥＢＬサービス,'4010501022513,株式会社,,株式会社ＥＢＬサービスは、電気工事・メンテナンスを中心に、再エネルギー事業やＢＰＯ事業、ＳａａＳ事業など多岐にわたるサービスを提供し、顧客のコスト削減や環境に配慮した仕組み作りを支援する法人です。,東京都荒川区東日暮里1-32-6CROSSビル,116-0014,東京都,荒川区,東日暮里1-32-6CROSSビル,東京都荒川区東日暮里１丁目３２番６号,1160014,東京都,荒川区,東日暮里１丁目３２番６号,https://www.ebl-service.co.jp/,,03-6890-0049,03-6890-0018,"建設業/設備工事業/電気工事業,建設業/設備工事業/電気通信・信号装置工事業,建設業/設備工事業/管工事業（さく井工事業を除く）",建設業,設備工事業,建設業,設備工事業,建設業,設備工事業,非上場,中小企業,2001/11,"20,000,000",50以上～100未満,浅岡 正明（代表取締役）,浅岡 正明（代表取締役）,10億以上～20億未満,,,12,千葉県/北海道/宮城県/栃木県/新潟県/石川県/愛知県/大阪府/岡山県/福岡県/沖縄県,,,1,6,Googleタグマネージャー/Google マップ/Google Hosted Libraries,-,-,-,-,-,中途採用掲載あり(2025/2026年),1,N/A
アルカセット・コンサルティング株式会社,'8011001069520,株式会社,,アルカセット・コンサルティング株式会社は、経営・戦略コンサルティング、ＩＴ・業務コンサルティング、ＩＴシステム受託開発・運用・保守、Ｗｅｂサービス（ＳａａＳ）事業、ＳＥＳ事業、労働者派遣事業を展開している法人です。,東京都千代田区丸の内1-6-5丸の内北口ビルディング9階,100-0005,東京都,千代田区,丸の内1-6-5丸の内北口ビルディング9階,東京都千代田区丸の内１丁目６番５号,100-0005,東京都,千代田区,丸の内１丁目６番５号,https://alkaased.jp/,info@alkaased.jp,03-6304-0868,03-6304-0878,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2010/7/29,,20以上～30未満,小川 啓介（代表取締役）,小川 啓介（代表取締役）,5億以上～10億未満,,,,,,,1,1,Google マップ/Googleタグマネージャー/reCAPTCHA/Gravatar,◯,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年),1,N/A
弁護士法人直法律事務所,'5010005028989,弁護士法人,,弁護士法人直法律事務所は、企業法務、ＩＰＯ支援、不動産法務、相続・保険法務など幅広い法律サービスを提供し、スタートアップから上場企業までのクライアントの課題解決に取り組む専門家集団です。,東京都千代田区平河町2-7-4砂防会館別館B棟5階,102-0093,東京都,千代田区,平河町2-7-4砂防会館別館B棟5階,東京都千代田区平河町２丁目７番４号砂防会館別館Ｂ棟５階,1020093,東京都,千代田区,平河町２丁目７番４号砂防会館別館Ｂ棟５階,https://nao-lawoffice.jp/,,03-6256-8925,03-6256-8926,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/法律事務所，特許事務所",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,非上場,小規模企業,,,5以上～10未満,澤田直彦（代表弁護士）,澤田直彦（代表弁護士）,1億以上～5億未満,,,1,,,,1,,Font Awesome/reCAPTCHA/Gstatic/Google マップ/Google Hosted Libraries/エックスサーバーWebフォント/CloudFlare/Googleタグマネージャー/jsDelivr/YubinBango,-,-,-,-,-,,1,N/A
